epsilon,mechanism,budget_method,accuracy,accuracy_ci,macro_f1,macro_f1_ci,relative_accuracy_loss_pct,privacy_type,acc_Normal,acc_DoS,acc_Probe,acc_R2L,acc_U2R,acc_Normal_ci,acc_DoS_ci,acc_Probe_ci,acc_R2L_ci,acc_U2R_ci
inf,laplace,uniform,0.9437958639092728,0.0,0.5600361767624512,0.0,0.0,no_dp,0.9674695026587425,0.955788514129444,0.8432432432432433,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0
0.1,laplace,uniform,0.5426951300867244,0.0,0.15808492074388006,0.0,42.498674677504866,central_dp,0.9996872067563342,0.025979945305378303,0.0,0.02040816326530612,0.0,9.731533880729309e-17,0.0,0.0,0.0,0.0
0.3,laplace,uniform,0.5427951967978653,7.161682539763536e-05,0.15853010264633638,0.00031086094940818135,42.488072097543736,central_dp,0.9996872067563342,0.025979945305378303,0.001081081081081081,0.02040816326530612,0.0,9.731533880729309e-17,0.0,0.0007737197929442347,0.0,0.0
0.5,laplace,uniform,0.5428285523682456,5.84748930740672e-05,0.15867272008113537,0.00025761441794550696,42.48453790422335,central_dp,0.9996872067563342,0.025979945305378303,0.0014414414414414415,0.02040816326530612,0.0,9.731533880729309e-17,0.0,0.0006317395655350757,0.0,0.0
1.0,laplace,uniform,0.5428619079386258,0.0,0.15881966991544919,0.0,42.48100371090298,central_dp,0.9996872067563342,0.025979945305378303,0.0018018018018018018,0.02040816326530612,0.0,9.731533880729309e-17,0.0,0.0,0.0,0.0
inf,laplace,mi,0.9437958639092728,0.0,0.5600361767624512,0.0,0.0,no_dp,0.9674695026587425,0.955788514129444,0.8432432432432433,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0
0.1,laplace,mi,0.5331887925283523,0.0,0.13910584140106602,0.0,43.50591977381163,central_dp,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,laplace,mi,0.5331887925283523,0.0,0.13910584140106602,0.0,43.50591977381163,central_dp,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,laplace,mi,0.5331887925283523,0.0,0.13910584140106602,0.0,43.50591977381163,central_dp,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,laplace,mi,0.5331887925283523,0.0,0.13910584140106602,0.0,43.50591977381163,central_dp,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
