mechanism,per_query_epsilon,n_queries,basic_epsilon,advanced_epsilon,rdp_epsilon,prv_epsilon,prv_vs_rdp_improvement_pct
laplace,0.1,1,0.1,0.4904,0.2719,0.1831,32.7
laplace,0.1,2,0.2,0.6996,0.361,0.3292,8.8
laplace,0.1,5,0.5,1.1256,0.6284,0.6849,-9.0
laplace,0.1,10,1.0,1.6226,1.074,1.1049,-2.9
laplace,0.1,20,2.0,2.3563,1.9355,1.793,7.4
laplace,0.1,50,5.0,3.9189,3.4285,3.5573,-3.8
laplace,0.1,100,10.0,5.8502,5.0763,6.1522,-21.2
laplace,0.5,1,0.5,2.7236,0.6719,0.5494,18.2
laplace,0.5,2,1.0,4.0418,1.161,1.0598,8.7
laplace,0.5,5,2.5,6.9867,2.6284,2.2844,13.1
laplace,0.5,10,5.0,10.8307,5.074,3.6667,27.7
laplace,0.5,20,10.0,17.217,9.8501,5.6557,42.6
laplace,0.5,50,25.0,33.1834,19.3178,9.9283,48.6
laplace,0.5,100,50.0,56.4287,31.5433,15.3347,51.4
