feature,epsilon,ldp_mechanism,ldp_error,central_laplace_error,mse_penalty_ratio,penalty_db
flag,0.1,laplace,2273.189796,121670.154676,0.02,-17.29
flag,0.1,duchi,52613070.247014,121670.154676,432.42,26.36
flag,0.1,piecewise,82059723.885738,121670.154676,674.44,28.29
flag,0.5,laplace,569.237082,24590.855632,0.02,-16.35
flag,0.5,duchi,9688760.149503,24590.855632,394.0,25.95
flag,0.5,piecewise,10289758.383686,24590.855632,418.44,26.22
flag,1.0,laplace,215.58165,11046.526957,0.02,-17.1
flag,1.0,duchi,5718076.330537,11046.526957,517.64,27.14
flag,1.0,piecewise,7196570.037956,11046.526957,651.48,28.14
flag,2.0,laplace,121.108837,5319.728213,0.02,-16.43
flag,2.0,duchi,2323404.201508,5319.728213,436.75,26.4
flag,2.0,piecewise,2970708.59632,5319.728213,558.43,27.47
flag,5.0,laplace,31.633952,3026.779365,0.01,-19.81
flag,5.0,duchi,704663.420371,3026.779365,232.81,23.67
flag,5.0,piecewise,719637.968388,3026.779365,237.76,23.76
flag,10.0,laplace,22.918454,1527.983103,0.01,-18.24
flag,10.0,duchi,41701.290643,1527.983103,27.29,14.36
flag,10.0,piecewise,178046.198516,1527.983103,116.52,20.66
src_bytes,0.1,laplace,1983.832429,86755.551187,0.02,-16.41
src_bytes,0.1,duchi,24533.846816,86755.551187,0.28,-5.49
src_bytes,0.1,piecewise,53399.233732,86755.551187,0.62,-2.11
src_bytes,0.5,laplace,399.887205,18321.206344,0.02,-16.61
src_bytes,0.5,duchi,8165.517504,18321.206344,0.45,-3.51
src_bytes,0.5,piecewise,6778.51766,18321.206344,0.37,-4.32
src_bytes,1.0,laplace,293.476603,10423.954052,0.03,-15.5
src_bytes,1.0,duchi,3290.468745,10423.954052,0.32,-5.01
src_bytes,1.0,piecewise,4393.439048,10423.954052,0.42,-3.75
src_bytes,2.0,laplace,110.320678,8026.018753,0.01,-18.62
src_bytes,2.0,duchi,1683.475922,8026.018753,0.21,-6.78
src_bytes,2.0,piecewise,1898.617101,8026.018753,0.24,-6.26
src_bytes,5.0,laplace,34.400392,2477.743997,0.01,-18.57
src_bytes,5.0,duchi,614.03362,2477.743997,0.25,-6.06
src_bytes,5.0,piecewise,777.741675,2477.743997,0.31,-5.03
src_bytes,10.0,laplace,20.2614,1092.557817,0.02,-17.32
src_bytes,10.0,duchi,246.212855,1092.557817,0.23,-6.47
src_bytes,10.0,piecewise,178.075116,1092.557817,0.16,-7.88
