epsilon,budget_method,overall_accuracy,macro_f1,acc_loss_pct,acc_Normal,acc_DoS,acc_Probe,acc_R2L,acc_U2R
inf,uniform,0.9438,0.56,0.0,0.9675,0.9558,0.8432,0.0204,0.0
0.1,uniform,0.5427,0.1581,42.5,0.9997,0.026,0.0,0.0204,0.0
0.5,uniform,0.5429,0.1588,42.48,0.9997,0.026,0.0018,0.0204,0.0
1.0,uniform,0.5429,0.1588,42.48,0.9997,0.026,0.0018,0.0204,0.0
2.0,uniform,0.5429,0.1588,42.48,0.9997,0.026,0.0018,0.0204,0.0
inf,mi,0.9438,0.56,0.0,0.9675,0.9558,0.8432,0.0204,0.0
0.1,mi,0.5332,0.1391,43.51,1.0,0.0,0.0,0.0,0.0
0.5,mi,0.5332,0.1391,43.51,1.0,0.0,0.0,0.0,0.0
1.0,mi,0.5332,0.1391,43.51,1.0,0.0,0.0,0.0,0.0
2.0,mi,0.5332,0.1391,43.51,1.0,0.0,0.0,0.0,0.0
